wavelength,A-2-2,A-2-4,A-3-2,A-3-4,A-5-2,A-7-2,A-7-4,A-10-2,A-10-4,B1-1-2,B1-1-4,B1-2-2,A-9-2,A-9-4,B2-6-2,B2-6-4,C-1-2,A-4-2,A-4-4,A-6-2
category ,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,2
x,13.54,13.54,13.54,13.54,13.54,13.54,13.54,13.54,13.54,13.54,13.54,13.54,13.54,13.54,13.54,13.54,13.54,13.54,13.54,13.54
y,13.54,13.54,13.54,13.54,13.54,13.54,13.54,13.54,13.54,13.54,13.54,13.54,13.54,13.54,13.54,13.54,13.54,13.54,13.54,13.54
z,13.54,13.54,13.54,13.54,13.54,13.54,13.54,13.54,13.54,13.54,13.54,13.54,13.54,13.54,13.54,13.54,13.54,13.54,13.54,13.54
343.1,12.63,13.53,16.69,18.13,14.89,12.95,12.57,19.77,18.04,18.63,15.98,12.65,15.22,19.45,17.85,18.37,13.08,11.69,13.34,15.37
344.7,12.69,13.5,16.65,18.08,14.88,12.96,12.57,19.69,18,18.6,15.99,12.65,15.27,19.4,17.86,18.41,13.1,11.69,13.29,15.32
346.2,12.75,13.49,16.65,18.07,14.88,13.02,12.64,19.61,17.94,18.59,16.01,12.67,15.42,19.34,17.9,18.47,13.2,11.7,13.25,15.27
347.8,12.84,13.49,16.65,18.05,14.88,13.08,12.71,19.49,17.85,18.55,16.06,12.7,15.59,19.24,17.94,18.52,13.32,11.73,13.21,15.24
349.4,12.91,13.49,16.64,18.04,14.9,13.11,12.75,19.45,17.85,18.54,16.09,12.72,15.68,19.22,17.96,18.55,13.37,11.75,13.19,15.22
351,12.95,13.49,16.65,18.04,14.86,13.13,12.78,19.41,17.81,18.53,16.12,12.74,15.78,19.17,17.99,18.62,13.43,11.76,13.15,15.18
352.6,12.84,13.42,16.55,17.98,14.83,13.03,12.7,19.45,17.85,18.48,16.05,12.67,15.63,19.17,17.86,18.49,13.31,11.7,13.13,15.18
354.2,12.6,13.33,16.41,17.87,14.75,12.81,12.52,19.58,17.97,18.44,15.86,12.53,15.31,19.24,17.63,18.24,12.98,11.58,13.1,15.15
355.7,12.56,13.34,16.39,17.85,14.82,12.77,12.47,19.68,18.07,18.47,15.79,12.53,15.15,19.3,17.6,18.25,12.8,11.53,13.14,15.17
